running test Test_08/1 - random = 864Test_08, 0, 0;-239;0;-319;-255;-375;0;0;0;0;-231;0;0;-324;0;0;0;0;-333;0;-370;-16;0;-24;0;0;0;-11;-270;-329;0;-274;0;0;0;0;-370;0;0;-4;-286;-93;-41;-301;0;0;-340;0;-226;0;0;-5;-2;0;0;0;-294;0;0;0;-312;0;0;0;0;0;-216;0;-313;-342;0;0;0;-40;-235;-51;-37;0;0;0;
running test Test_08/2 - random = 137Test_08, 1, -253;0;-32;-206;0;-291;0;0;-2;-255;-288;0;0;0;-197;-311;0;-266;-152;-19;0;-8;-79;-291;0;-317;0;-37;0;0;0;-55;-269;-78;-303;0;0;0;-286;-238;-316;-241;0;0;0;0;0;-18;-259;-316;0;0;0;-258;0;-212;-102;-137;-222;-242;0;0;-337;0;-264;0;0;-308;-315;0;-156;-268;-111;0;0;0;0;0;-266;0;
running test Test_08/3 - random = 978Test_08, 2, 0;0;0;0;-42;-86;-200;0;-117;0;0;0;-278;-254;0;0;-245;0;0;-29;-181;-70;0;0;-185;0;0;0;-9;-130;0;0;0;0;-218;0;-30;0;-3;-216;-222;-11;-227;-63;0;0;-273;-220;0;0;-266;-266;0;0;-219;0;0;0;-225;-98;-298;0;-23;-188;-210;-65;0;-56;-108;0;-285;0;-277;-1;0;0;-33;0;-21;-197;
running test Test_08/4 - random = 243Test_08, 3, -374;0;-276;-196;-332;-23;0;0;0;-374;-355;-275;-276;-253;0;0;-292;0;-250;0;0;0;0;0;-258;-279;0;-306;0;-189;-282;0;-308;0;-45;0;-306;0;-123;0;-103;0;-255;0;0;0;-20;0;-59;0;0;0;0;0;0;0;-2;-316;0;-172;0;-55;0;-288;0;-60;-292;-213;-311;-312;0;0;-178;0;-313;0;-247;-264;0;0;
running test Test_08/5 - random = 241Test_08, 4, -177;-193;-215;-210;0;-240;-168;0;-31;0;0;0;0;-207;0;0;-195;-252;-40;0;-92;0;-203;0;0;0;-180;-187;-175;0;0;-231;0;0;-82;-198;0;-233;0;0;-160;-286;-168;0;-288;-180;-177;0;-265;-15;-230;0;-250;-223;0;0;-247;-90;0;-207;-12;-170;-217;-151;-208;-19;-258;-69;0;0;-220;0;-111;-59;-242;-207;-196;-29;0;-211;
running test Test_08/6 - random = 637Test_08, 5, -195;-205;0;0;-274;0;0;0;-175;-200;-98;0;-194;-177;0;-357;0;-223;0;-5;-277;-238;-110;-317;-59;-228;0;0;-220;-26;0;0;-336;-190;-301;-316;0;-83;-251;-247;-199;-180;0;0;0;0;0;0;0;-352;-257;0;-292;-248;0;0;-100;-254;-49;-249;0;0;0;0;0;-227;0;-70;-202;-23;0;0;-263;-217;-177;-282;0;0;-3;-139;
running test Test_08/7 - random = 812Test_08, 6, 0;-143;0;0;-283;0;0;-149;0;-36;0;0;0;-191;0;-115;-57;-217;-130;-365;-108;-298;-185;-165;-26;0;-19;-168;-309;-349;-294;-264;0;0;-368;0;-6;0;-45;-102;0;0;0;0;-50;0;0;-316;-21;-317;0;0;-274;0;-318;0;-194;0;0;0;-121;-340;0;0;-71;-305;-114;0;-305;-9;-72;0;-377;-184;-192;-233;-315;-318;0;0;
running test Test_08/8 - random = 331Test_08, 7, -60;0;0;0;0;-305;0;-72;-187;0;0;0;-246;0;-295;-21;-296;0;-215;0;-282;-307;0;-19;-278;-201;-171;-203;0;0;0;0;0;0;-272;-292;0;-330;0;0;0;0;-267;-304;-238;-65;-59;-258;0;-63;0;0;0;0;-346;-204;0;0;-229;-288;0;0;0;0;0;-245;-227;0;0;0;-262;0;-300;0;-285;-196;-191;-311;0;-210;
running test Test_08/9 - random = 232Test_08, 8, -277;-539;-417;-176;0;0;0;0;-98;-411;0;-427;0;0;-453;-122;-457;-529;-383;0;-461;0;-174;-7;-194;0;-298;-471;0;0;0;0;0;0;-2;-322;-361;-478;-417;0;0;-512;-558;-491;-40;-183;-339;-491;0;-338;-3;-329;-540;-5;-423;0;-170;-409;-400;0;-290;-381;0;0;-370;-450;-491;-474;0;0;-482;-510;-169;-362;-275;-405;0;-456;-459;0;
running test Test_08/10 - random = 474Test_08, 9, 0;-9;-355;-354;0;0;-130;0;-295;-365;-264;0;-328;-326;0;-3;-423;0;-371;0;-268;0;0;-360;-276;0;-319;0;-426;-350;0;0;-208;0;0;0;0;-21;0;-395;-280;-374;0;0;0;0;-412;-295;0;-415;-263;0;0;0;-291;0;-336;-407;-215;0;-82;0;0;0;0;-16;-290;0;-293;0;0;0;-148;0;-303;0;0;-343;-322;-351;
