running test Test_03/1 - random = 864Test_03, 0, -36;-49;-39;-34;-43;-39;-41;-45;-48;-51;-46;-51;-46;-46;-46;-48;-44;-39;-48;-53;-49;-42;-50;-56;-49;-42;-37;-43;-45;-41;-45;-39;-51;-50;-55;-50;-45;-56;-56;-47;-46;-39;-44;-49;-48;-52;-51;-29;-50;-49;
running test Test_03/2 - random = 137Test_03, 1, -96;-87;0;0;0;0;0;-9;-85;-82;0;0;0;0;-63;0;0;0;0;-64;-93;-89;0;-89;0;-63;0;-59;-5;0;-97;-88;-82;-92;-87;-120;0;0;-105;-125;0;0;0;-126;-80;-99;-59;-12;-74;-18;
running test Test_03/3 - random = 978Test_03, 2, -62;0;-67;-70;0;0;-93;0;-93;0;0;-104;0;0;-85;0;-7;0;-76;-53;-89;-76;-70;-82;-22;0;-76;-94;-71;0;0;-21;-53;0;-105;-94;-67;-85;-82;-96;0;-71;-69;0;0;-101;-69;-74;-85;-7;
running test Test_03/4 - random = 243Test_03, 3, 0;0;0;-74;-64;-53;-48;0;-47;0;0;-47;0;0;-50;-80;0;0;-44;0;-44;-20;-59;0;-42;0;-45;0;0;-52;0;-49;-45;-20;-55;0;-55;0;-77;-39;-42;0;-46;-55;-54;-50;-50;-20;-51;0;
running test Test_03/5 - random = 241Test_03, 4, -85;-24;-114;-102;-119;-24;-24;-101;-98;-91;-95;-97;-100;-106;-124;-126;-121;-91;-119;-85;-94;-124;-13;-104;-102;-65;-13;-122;-65;0;-120;-128;-102;0;-91;-131;-107;-24;-24;-104;-112;-92;-118;-107;-35;-103;-98;-24;-120;-35;
running test Test_03/6 - random = 637Test_03, 5, -54;0;-49;0;0;-54;0;-62;-5;-53;-50;-57;-60;-57;-55;-56;0;-70;-51;-84;-63;-58;-73;-59;-74;-59;-60;-52;-61;-49;-55;-21;-62;-56;-80;-65;-53;-63;-76;-21;-65;-7;-68;-69;-68;-21;-68;-54;-54;-41;
running test Test_03/7 - random = 812Test_03, 6, -44;-53;-56;-65;-46;-22;-60;-53;-57;-56;-73;-58;-62;-61;-71;-65;-69;-60;-65;-57;-57;-22;-51;-65;-54;-22;-52;-34;-54;-61;-34;-67;-60;-51;-72;-22;-22;-72;-72;-22;-22;-36;-72;-36;-20;-36;-59;-63;-20;-43;
running test Test_03/8 - random = 331Test_03, 7, -52;-40;-38;-49;-40;-52;-41;-41;-52;-41;-43;-44;-44;-53;-52;-49;-53;-56;-50;-45;-47;-45;-53;-46;-46;-46;-53;-50;-52;-56;-55;-54;-48;-45;-54;-49;-49;-53;-55;-49;-51;-47;-47;-54;-53;-22;-64;-55;-51;-62;
running test Test_03/9 - random = 232Test_03, 8, 0;0;0;0;-45;0;0;-56;0;-54;-51;-44;-54;-34;0;-36;-59;0;0;0;-46;-58;-51;0;0;0;-47;0;-38;0;0;-20;0;0;-45;0;0;-38;0;-39;-20;-42;0;0;-61;-48;0;0;-35;-44;
running test Test_03/10 - random = 474Test_03, 9, -57;0;-47;-51;0;-62;-47;0;-52;0;-71;0;-49;-55;0;-37;-57;-55;0;-38;-44;-70;-20;-54;0;-42;-45;-41;-41;0;-49;-68;-48;-46;0;-73;0;-62;0;-47;-50;-47;-65;0;-47;0;-50;-57;-53;-57;
running test Test_03/11 - random = 585Test_03, 10, -59;-70;-101;-93;0;0;-68;-96;-101;-106;-99;-103;-98;-86;0;-93;-116;0;-76;0;0;-75;-90;-84;-59;-70;-92;-95;-113;-88;-95;-98;-108;-123;-95;-113;-86;0;-99;-99;0;0;0;-59;-96;-113;0;-67;-120;0;
running test Test_03/12 - random = 463Test_03, 11, -7;0;-1;-6;0;0;-3;-6;-4;0;0;0;0;0;-7;-5;-11;0;0;-8;-8;0;-11;0;0;0;-7;0;0;-9;0;-10;-12;0;-11;0;0;-15;0;-13;-16;-2;-3;-17;-13;-18;-18;-12;-20;0;
running test Test_03/13 - random = 485Test_03, 12, 0;0;0;0;0;0;0;0;-38;0;0;0;0;-30;0;-61;-63;-26;0;-65;0;0;-33;0;0;-33;0;0;-7;-49;-63;0;0;-62;0;-41;0;0;-9;0;-36;-19;0;-19;0;-84;-30;-19;0;-1;
running test Test_03/14 - random = 265Test_03, 13, 0;0;-49;0;-61;-51;0;-53;0;-63;-53;-65;0;0;-32;-54;0;-53;-32;-54;0;0;0;0;-32;0;-49;-37;-37;-51;-32;-37;-56;-32;-57;-32;-32;-38;-32;-39;-57;-51;-43;-53;-32;-44;-32;-42;-45;-32;
running test Test_03/15 - random = 109Test_03, 14, 0;-79;-111;0;-70;-116;-96;-112;-97;-115;0;-109;-99;0;-109;-120;-75;0;0;-118;-77;-113;-88;-100;-121;-77;0;-121;-86;-78;-69;0;-80;-100;0;-115;-65;-85;-87;-119;-104;-100;-107;0;0;-59;0;-59;-121;-72;
running test Test_03/16 - random = 988Test_03, 15, -77;-28;-97;0;-28;-77;-74;-28;-76;-95;-63;-51;-70;0;-99;-73;-51;-55;-28;-86;-28;-88;-99;-68;-73;-36;-51;0;-98;-97;-51;-63;0;-55;-17;-99;-81;-36;-55;0;-13;-9;-92;-28;0;-82;-96;0;-95;-17;
